1;6;
3;6;
4;6;
7;6;
5;6;
2;6;
10;5;
11;6;
8;186;
14;6;
16;6;
9;8;
15;191;
6;6;
12;587;
13;6;
17;7;
18;6;
20;8;
19;198;
24;7;
21;11;
27;197;
26;7;
23;10;
25;6;
22;11;
28;595;
30;6;
34;6;
32;10;
29;193;
35;779;
41;161;
40;9;
31;187;
37;772;
43;154;
33;11;
38;197;
36;9;
39;594;
45;372;
46;10;
49;11;
47;10;
51;7;
55;6;
44;380;
52;10;
57;6;
42;588;
48;1174;
53;194;
50;563;
58;5;
63;8;
61;8;
64;195;
70;5;
54;558;
69;6;
59;385;
56;752;
60;1144;
66;933;
72;315;
67;198;
73;383;
78;7;
65;977;
71;757;
62;1338;
75;7;
79;5;
76;7;
81;6;
82;5;
68;1123;
85;5;
84;6;
90;6;
77;142;
83;733;
88;10;
74;909;
91;10;
89;119;
87;6;
94;5;
95;306;
80;1497;
86;1683;
100;192;
101;94;
93;593;
96;9;
102;596;
97;7;
103;592;
108;6;
106;5;
112;194;
92;1073;
99;777;
118;5;
107;8;
113;597;
109;11;
98;1662;
104;1843;
115;601;
121;388;
114;8;
110;1236;
105;961;
111;1546;
119;9;
116;1025;
124;12;
130;197;
120;594;
122;818;
117;936;
125;200;
131;393;
136;6;
126;786;
132;573;
123;1132;
129;918;
127;10;
137;7;
128;611;
134;797;
135;306;
141;488;
142;7;
133;603;
147;5;
140;182;
138;5;
144;586;
139;789;
143;7;
148;11;
150;7;
154;5;
145;575;
156;6;
146;374;
151;362;
149;194;
155;378;
161;6;
152;566;
153;11;
157;145;
167;6;
158;352;
162;8;
163;334;
160;6;
166;591;
159;599;
169;123;
165;785;
171;572;
173;7;
164;538;
168;197;
174;388;
175;11;
172;11;
178;198;
180;5;
179;7;
170;730;
186;4;
184;7;
177;5;
176;928;
181;8;
187;192;
190;6;
183;584;
196;6;
189;369;
195;154;
182;706;
185;11;
192;6;
191;593;
198;191;
188;887;
197;374;
203;151;
193;7;
204;7;
199;592;
201;8;
202;6;
208;188;
210;5;
